City,State,Location
Providence,Rhode Island,41.82°N 71.41°W
Akron,Ohio,41.08°N 81.52°W
Brownsville,Texas,25.99°N 97.45°W
Mobile,Alabama,30.66°N 88.10°W
Newport News,Virginia,37.07°N 76.52°W
Tempe,Arizona,33.38°N 111.93°W
Shreveport,Louisiana,32.46°N 93.79°W
Chattanooga,Tennessee,35.06°N 85.24°W
Fort Lauderdale,Florida,26.14°N 80.14°W
Aurora,Illinois,41.76°N 88.29°W
Elk Grove,California,38.41°N 121.38°W
Ontario,California,34.03°N 117.60°W
Salem,Oregon,44.92°N 123.02°W
Cary,North Carolina,35.78°N 78.81°W
Santa Rosa,California,38.44°N 122.70°W
Rancho Cucamonga,California,34.12°N 117.56°W
Eugene,Oregon,44.05°N 123.11°W
Oceanside,California,33.22°N 117.30°W
Clarksville,Tennessee,36.56°N 87.34°W
Garden Grove,California,33.77°N 117.96°W
Lancaster,California,34.69°N 118.17°W
Springfield,Missouri,37.19°N 93.29°W
Pembroke Pines,Florida,26.02°N 80.34°W
Fort Collins,Colorado,40.54°N 105.06°W
Palmdale,California,34.59°N 118.10°W
Salinas,California,36.69°N 121.63°W
Hayward,California,37.62°N 122.10°W
Corona,California,33.86°N 117.56°W
Paterson,New Jersey,40.91°N 74.16°W
Murfreesboro,Tennessee,35.85°N 86.41°W
Macon,Georgia,32.80°N 83.69°W
Lakewood,Colorado,39.69°N 105.11°W
Killeen,Texas,31.07°N 97.73°W
Springfield,Massachusetts,42.11°N 72.54°W
Alexandria,Virginia,38.82°N 77.08°W
Kansas City,Kansas,39.12°N 94.74°W
Sunnyvale,California,37.38°N 122.02°W
Hollywood,Florida,26.03°N 80.16°W
Roseville,California,38.76°N 121.31°W
Charleston,South Carolina,32.81°N 79.95°W
Escondido,California,33.13°N 117.07°W
Joliet,Illinois,41.51°N 88.14°W
Jackson,Mississippi,32.31°N 90.21°W
Bellevue,Washington,47.59°N 122.15°W
Surprise,Arizona,33.67°N 112.45°W
Naperville,Illinois,41.74°N 88.16°W
Pasadena,Texas,29.65°N 95.15°W
Pomona,California,34.05°N 117.76°W
Bridgeport,Connecticut,41.18°N 73.19°W
Denton,Texas,33.21°N 97.14°W
Rockford,Illinois,42.25°N 89.06°W
Mesquite,Texas,32.76°N 96.58°W
Savannah,Georgia,32.00°N 81.15°W
Syracuse,New York,43.04°N 76.14°W
McAllen,Texas,26.23°N 98.24°W
Torrance,California,33.83°N 118.34°W
Olathe,Kansas,38.88°N 94.81°W
Visalia,California,36.32°N 119.32°W
Thornton,Colorado,39.91°N 104.94°W
Fullerton,California,33.88°N 117.92°W
Gainesville,Florida,29.67°N 82.34°W
Waco,Texas,31.56°N 97.18°W
West Valley City,Utah,40.68°N 112.01°W
Warren,Michigan,42.49°N 83.02°W
Lakewood,New Jersey,40.08°N 74.21°W
Hampton,Virginia,37.04°N 76.29°W
Dayton,Ohio,39.77°N 84.19°W
Columbia,South Carolina,34.02°N 80.89°W
Orange,California,33.78°N 117.86°W
Cedar Rapids,Iowa,41.96°N 91.67°W
Stamford,Connecticut,41.07°N 73.54°W
Victorville,California,34.52°N 117.35°W
Pasadena,California,34.16°N 118.13°W
Elizabeth,New Jersey,40.66°N 74.19°W
New Haven,Connecticut,41.31°N 72.92°W
Miramar,Florida,25.97°N 80.33°W
Kent,Washington,47.38°N 122.21°W
Sterling Heights,Michigan,42.58°N 83.03°W
Carrollton,Texas,32.98°N 96.89°W
Coral Springs,Florida,26.27°N 80.25°W
Midland,Texas,32.02°N 102.11°W
Norman,Oklahoma,35.24°N 97.34°W
Athens,Georgia,33.94°N 83.37°W
Santa Clara,California,37.36°N 121.96°W
Columbia,Missouri,38.95°N 92.32°W
Fargo,North Dakota,46.86°N 96.82°W
Pearland,Texas,29.55°N 95.32°W
Simi Valley,California,34.26°N 118.74°W
Meridian,Idaho,43.61°N 116.39°W
Topeka,Kansas,39.03°N 95.69°W
Allentown,Pennsylvania,40.59°N 75.47°W
Thousand Oaks,California,34.19°N 118.87°W
Abilene,Texas,32.45°N 99.73°W
Vallejo,California,38.10°N 122.26°W
Concord,California,37.97°N 122.00°W
Round Rock,Texas,30.52°N 97.66°W
Arvada,Colorado,39.83°N 105.15°W
Clovis,California,36.82°N 119.68°W
Palm Bay,Florida,27.98°N 80.66°W
Independence,Missouri,39.08°N 94.35°W
Lafayette,Louisiana,30.20°N 92.02°W
Ann Arbor,Michigan,42.27°N 83.73°W
Rochester,Minnesota,44.01°N 92.47°W
Hartford,Connecticut,41.76°N 72.68°W
College Station,Texas,30.58°N 96.29°W
Fairfield,California,38.25°N 122.03°W
Wilmington,North Carolina,34.20°N 77.88°W
North Charleston,South Carolina,32.91°N 80.06°W
Billings,Montana,45.78°N 108.54°W
West Palm Beach,Florida,26.74°N 80.12°W
Berkeley,California,37.86°N 122.29°W
Cambridge,Massachusetts,42.37°N 71.11°W
Clearwater,Florida,27.97°N 82.76°W
West Jordan,Utah,40.60°N 112.00°W
Evansville,Indiana,37.98°N 87.53°W
Richardson,Texas,32.97°N 96.70°W
Broken Arrow,Oklahoma,36.03°N 95.78°W
Richmond,California,37.95°N 122.36°W
League City,Texas,29.49°N 95.10°W
Manchester,New Hampshire,42.98°N 71.44°W
Lakeland,Florida,28.05°N 81.95°W
Carlsbad,California,33.12°N 117.28°W
Antioch,California,37.97°N 121.79°W
Westminster,Colorado,39.88°N 105.06°W
High Point,North Carolina,35.99°N 79.99°W
Provo,Utah,40.24°N 111.64°W
Lowell,Massachusetts,42.63°N 71.32°W
Elgin,Illinois,42.03°N 88.32°W
Waterbury,Connecticut,41.55°N 73.03°W
Springfield,Illinois,39.79°N 89.64°W
Gresham,Oregon,45.50°N 122.44°W
Murrieta,California,33.57°N 117.19°W
Lewisville,Texas,33.04°N 96.98°W
Las Cruces,New Mexico,32.32°N 106.78°W
Lansing,Michigan,42.71°N 84.55°W
Beaumont,Texas,30.08°N 94.14°W
Odessa,Texas,31.88°N 102.34°W
Pueblo,Colorado,38.26°N 104.61°W
Peoria,Illinois,40.75°N 89.61°W
Downey,California,33.93°N 118.13°W
Pompano Beach,Florida,26.24°N 80.13°W
Miami Gardens,Florida,25.94°N 80.24°W
Temecula,California,33.49°N 117.13°W
Everett,Washington,47.95°N 122.19°W
Costa Mesa,California,33.66°N 117.91°W
Ventura,California,34.26°N 119.25°W
Sparks,Nevada,39.55°N 119.73°W
Santa Maria,California,34.93°N 120.44°W
Sugar Land,Texas,29.59°N 95.61°W
Greeley,Colorado,40.41°N 104.76°W
South Fulton,Georgia,33.59°N 84.67°W
Dearborn,Michigan,42.31°N 83.21°W
Concord,North Carolina,35.40°N 80.60°W
Edison,New Jersey,40.52°N 74.41°W
Tyler,Texas,32.31°N 95.30°W
Sandy Springs,Georgia,33.93°N 84.36°W
West Covina,California,34.05°N 117.90°W
Green Bay,Wisconsin,44.52°N 87.98°W
Centennial,Colorado,39.59°N 104.86°W
Jurupa Valley,California,34.00°N 117.46°W
El Monte,California,34.07°N 118.02°W
Allen,Texas,33.09°N 96.66°W
Hillsboro,Oregon,45.52°N 122.93°W
Menifee,California,33.69°N 117.19°W
Nampa,Idaho,43.57°N 116.56°W
Spokane Valley,Washington,47.67°N 117.23°W
Rio Rancho,New Mexico,35.29°N 106.67°W
Brockton,Massachusetts,42.08°N 71.02°W
El Cajon,California,32.80°N 116.96°W
Burbank,California,34.19°N 118.32°W
Inglewood,California,33.95°N 118.34°W
Renton,Washington,47.47°N 122.19°W
Davie,Florida,26.07°N 80.28°W
Rialto,California,34.11°N 117.38°W
Boulder,Colorado,40.02°N 105.25°W
South Bend,Indiana,41.67°N 86.26°W
Woodbridge,New Jersey,40.56°N 74.28°W
Vacaville,California,38.35°N 121.97°W
Wichita Falls,Texas,33.90°N 98.52°W
Lee's Summit,Missouri,38.92°N 94.37°W
Edinburg,Texas,26.30°N 98.16°W
Chico,California,39.74°N 121.83°W
San Mateo,California,37.56°N 122.31°W
Bend,Oregon,44.30°N 121.18°W
Goodyear,Arizona,33.45°N 112.36°W
Buckeye,Arizona,33.37°N 112.59°W
Daly City,California,37.70°N 122.46°W
Fishers,Indiana,39.96°N 86.01°W
Quincy,Massachusetts,42.25°N 71.00°W
Davenport,Iowa,41.55°N 90.60°W
Hesperia,California,34.41°N 117.31°W
New Bedford,Massachusetts,41.64°N 70.93°W
Lynn,Massachusetts,42.47°N 70.95°W
Carmel,Indiana,39.58°N 86.60°W
Longmont,Colorado,40.17°N 105.11°W
Tuscaloosa,Alabama,33.21°N 87.53°W
Norwalk,California,33.90°N 118.08°W
